codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
C68-B27,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,360ML,,TINTA SPRAY 360ML,TINTA SPRAY COLORGIN 360ML INZA,,,,,TINTA SPRAY COLORGIN 360ML INZA
W7B-J1X,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,400ML,,TINTA SPRAY 400ML,TINTA SPRAY COLORGIN 400ML - ALUMÍNIO,,,,,TINTA SPRAY COLORGIN 400ML - ALUMÍNIO
21U-HET,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,400ML,,TINTA SPRAY 400ML,TINTA SPRAY COLORGIN 400ML - VIOLETA,,,,,TINTA SPRAY COLORGIN 400ML - VIOLETA
2PW-UIM,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,,,TINTA SPRAY,TINTA SPRAY METÁLICA - DOURADO,,,,,TINTA SPRAY METÁLICA - DOURADO
S69-W4Q,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,,,TINTA SPRAY,TINTA SPRAY METÁLICA - PRATA,,,,,TINTA SPRAY METÁLICA - PRATA
0O3-730,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,300ML,,TINTA SPRAY 300ML,TINTA SPRAY RENNER 300ML - AZUL OCEANO,,,,,TINTA SPRAY RENNER 300ML - AZUL OCEANO
DS5-5KZ,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,350ML,,TINTA SPRAY 350ML,TINTA SPRAY TEKBOND 350ML - BEGE,,,,,TINTA SPRAY TEKBOND 350ML - BEGE
E6N-9FB,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,350ML,,TINTA SPRAY 350ML,TINTA SPRAY TEKBOND 350ML - GRAFITE,,,,,TINTA SPRAY TEKBOND 350ML - GRAFITE
3KY-7R7,G - PINTURA E QUÍMICOS,TINTA,TINTA SPRAY,350ML,,TINTA SPRAY 350ML,TINTA SPRAY TEKBOND 350ML - ROSA,,,,,TINTA SPRAY TEKBOND 350ML - ROSA
T91-7NF,G - PINTURA E QUÍMICOS,IMPERMEABILIZANTE,VEDACIT,900 ML,,VEDACIT 900 ML,VEDACIT,900 ML,,,,VEDACIT 900 ML
TMN-9Z4,G - PINTURA E QUÍMICOS,IMPERMEABILIZANTE,VEDACIT,"3,6 GL",,"VEDACIT 3,6 GL",VEDACIT,"3,6 GL",,,,"VEDACIT 3,6 GL"
0CD-53K,G - PINTURA E QUÍMICOS,VERNIZ,VERNIZ IQUINE,"3,6 L",NOGUEIRA,"VERNIZ IQUINE 3,6 L NOGUEIRA",VERNIZ,"(3,6 L)",IQUINE,NOGUEIRA,,"VERNIZ (3,6 L) IQUINE NOGUEIRA"
